2023-07-09 04:17:24,0,1
2023-07-09 04:17:28,0,-1
2023-07-09 04:17:33,1,1
2023-07-09 04:18:48,1,1
2023-07-09 04:28:54,0,1
2023-07-09 04:30:27,0,1
2023-07-09 04:31:42,0,1
2023-07-09 04:31:52,1,0
2023-07-09 04:34:00,0,1
2023-07-09 04:34:07,0,1
2023-07-09 04:35:04,0,1
2023-07-09 04:35:44,0,1
2023-07-09 04:36:36,0,1
2023-07-09 04:38:06,0,1
2023-07-09 04:40:03,0,1
2023-07-09 04:42:20,0,1
2023-07-09 04:42:24,0,1
2023-07-09 04:43:02,0,1
2023-07-09 04:43:15,0,1
2023-07-09 04:44:01,0,1
2023-07-09 06:10:40,0,1
2023-07-09 06:12:36,0,1
2023-07-09 06:14:58,0,1
2023-07-09 06:15:28,0,1
2023-07-09 06:17:03,0,1
2023-07-09 17:32:54,0,1
